,PI_low,PI_hi
0,21.05765938269142,27.925742981550208
1,22.168223610775478,29.084801613769326
2,22.406380095064744,29.333657787825768
3,22.494590958158845,29.42583831684928
4,22.203501940569204,29.12165263780465
5,22.93571568805461,29.886896548331606
6,22.344635498620832,29.26913631911227
7,22.50341103252442,29.435054525062345
8,22.759215957862377,29.702369187153483
9,23.642827747043206,30.627017231418286
10,24.032209961480252,33.745417664445924
11,25.215875466256197,35.16420340035968
12,25.676765567486598,35.717228176908506
13,26.20707796737377,36.3539024797104
14,26.481277642339517,36.68332898952928
15,26.45556977137536,36.652434906405304
16,27.528678303845094,37.94059808867351
17,28.72560364601959,39.37682776865242
18,29.406892865980428,40.192983241173536
19,29.467268948933814,40.26531445671573
20,30.613598785878217,42.23690599577601
21,27.2927208297307,38.16122236490747
22,26.338052452597857,36.990648180771814
23,27.451857430816904,38.35640440543425
24,29.88011743819039,41.33623972035916
25,28.064629620210972,39.108134192536895
26,28.613906128681485,39.78214978508053
27,27.730338893138992,38.697970024853234
28,27.34841723463332,38.22953475794294
29,28.41486942542584,39.53792135667938
30,29.917821200592307,39.318868404346404
31,29.597979766569505,38.94519830453729
32,29.917821200592307,39.318868404346404
33,29.86861571265925,39.26138099940171
34,29.66359026956269,39.02184995806846
35,31.01718138329033,40.60323848380245
36,31.312799973928396,40.948557852662205
37,33.324833567301425,43.298701839445094
38,34.51640671041743,44.69028287080385
39,33.94939546457665,44.028110956479296
40,32.78039204215098,46.26867323182799
41,32.364341172296534,45.726129382465665
42,32.954375545885284,46.49555272644637
43,33.56709910575613,47.29456277833397
44,33.635179313900316,47.38334201654932
45,33.748646608569494,47.53130788206743
46,34.6716729074262,48.73492765436074
47,36.176878646939734,50.698366299248484
48,35.76086966031627,50.15570382758093
49,34.98936452298838,49.149317530846496
50,38.82477755023682,56.291987609661284
51,37.88131841875695,54.99352368242849
52,36.442927957592524,53.013312068458006
53,32.784189080300294,47.975543917615816
54,33.82265568321098,49.40542421221446
55,34.445769376418596,50.26339657718781
56,36.72253225592938,53.39830328993306
57,36.84236046089474,53.563294829397435
58,37.05006671187034,53.84928814758147
59,38.736826981585,56.17094619647469
60,40.813666723149296,55.24536502052744
61,40.167841777662055,54.45164349956531
62,41.86354439828915,56.53566762072239
63,41.6616424884999,56.28752943487241
64,42.453541948366095,57.260502189426575
65,43.617329221960134,58.690627880405465
66,44.70027356742089,60.021580826686076
67,45.743215491946565,61.30334599405079
68,46.81053851662912,62.61506807210908
69,49.609988939770105,66.05613080287642
70,47.56946874090558,67.35044628743545
71,50.33532431526231,71.07827387328794
72,43.96894513024429,62.497821729403235
73,47.413842636233156,67.1407006182608
74,52.93147704885905,74.57743753508751
75,52.32307406752494,73.75739475762143
76,50.91538577152504,71.86008973447103
77,49.42280613958272,69.84837026533044
78,50.52632386542166,71.33570367122155
79,55.3019325404156,77.7725007600559
80,61.18710794093937,85.71291943952015
81,65.14523012103533,91.01983794668163
82,69.25558294772739,96.53086552557701
83,70.62570486675591,98.36787809168825
84,72.56670871679812,100.97030810966695
85,89.7540806064214,124.0145686180932
86,81.54859065299453,113.01291874556561
87,74.31741034436747,103.31759223073092
88,65.22134628761992,91.12189360693063
89,64.04152209353612,89.54002581335206
90,67.14929156464875,96.7773935963456
91,72.68935574753793,104.56158209688643
