,PI_low,PI_hi,date,actual
0,20.413782042582284,31.76568588051104,2021-06-09,28.179998
1,20.641112590083427,32.02901671648645,2021-06-10,28.280003
2,20.725311201278355,32.12654926888375,2021-06-11,27.95
3,20.447462168716864,31.804700250728416,2021-06-14,28.78
4,21.146269682505256,32.61419685171273,2021-06-15,28.11
5,20.58217631346928,31.960747331064017,2021-06-16,28.29
6,20.733729730707864,32.136301034317285,2021-06-17,28.580002
7,20.977893261183148,32.41913764992383,2021-06-18,29.580002
8,21.824756134272647,33.40199316041919,2021-06-21,29.500002
9,21.75511855159214,33.320636811336854,2021-06-22,30.9
10,25.9956782619443,35.59378283492025,2021-06-23,31.440002
11,26.47193304375225,36.13247342703125,2021-06-24,32.06
12,27.018876881132876,36.75596266384025,2021-06-25,32.38
13,27.30267835707756,37.082028395741375,2021-06-28,32.35
14,27.276068450621757,37.05145616697636,2021-06-29,33.6
15,28.386195996831002,38.328026689315934,2021-06-30,34.99
16,29.622073868210652,39.75342098067021,2021-07-01,35.78
17,30.32498228439469,40.56931981299066,2021-07-02,35.85
18,30.38728612035579,40.64165608825204,2021-07-05,37.85
19,32.167148315038844,42.71192002200275,2021-07-06,33.68
20,23.399853233006834,36.98015291771429,2021-07-07,32.48
21,22.592205094135814,35.97998276708839,2021-07-08,33.88
22,23.534619556113295,37.14749961590934,2021-07-09,36.93
23,25.59409201362856,39.72438044133928,2021-07-12,34.65
24,24.05428017544928,37.793828144002774,2021-07-13,35.34
25,24.520568645675684,38.37530990560374,2021-07-14,34.23
26,23.77060415594441,37.44061968910661,2021-07-15,33.75
27,23.447020466651928,37.03872394585011,2021-07-16,35.09
28,24.351577644157857,38.16447871584327,2021-07-19,35.74
29,24.790706068878414,38.71356590648778,2021-07-20,35.35
30,30.255868488060155,39.50610781014212,2021-07-21,35.74
31,30.594255760547384,39.906772355064746,2021-07-22,35.68
32,30.542174946642366,39.8451000001669,2021-07-23,35.43
33,30.325277434680213,39.58828889345084,2021-07-26,37.08
34,31.757696583925327,41.28471856761459,2021-07-27,37.44
35,32.070563476153566,41.655231121559666,2021-07-28,39.89
36,34.20014840086082,44.17710844251917,2021-07-29,41.34
37,35.461268227396786,45.67053234482584,2021-07-30,40.65
38,34.86098679808585,44.959595981423455,2021-08-02,42.06
39,36.087907139395526,46.41278499680824,2021-08-03,41.51
40,32.11535126705119,48.45891856759702,2021-08-04,42.29
41,32.71333164851712,49.28861975165036,2021-08-05,43.1
42,33.33444337950239,50.15064410840062,2021-08-06,43.19
43,33.40345654364434,50.24642571686603,2021-08-09,43.34
44,33.51847745319738,50.40606070029149,2021-08-10,44.56
45,34.45523245676334,51.70571787796431,2021-08-11,46.55
46,35.9844558399393,53.827971269579294,2021-08-12,46.0
47,35.56179023054311,53.241367104499275,2021-08-13,44.98
48,34.777957087432384,52.15355755795114,2021-08-16,47.96
49,37.068011568134345,55.33180638738598,2021-08-17,46.78
50,35.279817983629876,54.29311771902237,2021-08-18,44.98
51,33.80047415541999,52.20967377899797,2021-08-19,40.4
52,30.040521639479017,46.916524735394695,2021-08-20,41.7
53,31.106898075031598,48.417409474728245,2021-08-23,42.48
54,31.747094082930733,49.31860786394556,2021-08-24,45.33
55,34.088073934443784,52.61467590873567,2021-08-25,45.48
56,34.211351462412566,52.78828724201471,2021-08-26,45.74
57,34.425041674605424,53.08921909998312,2021-08-27,47.850002
58,36.15930820989507,55.5325007108642,2021-08-31,50.53
59,38.36393551633863,58.642269895435106,2021-09-01,49.73
60,36.84169253404176,52.8595323045062,2021-09-02,51.83
61,38.389691972904856,54.87125753610475,2021-09-03,51.58
62,38.20540378886881,54.631765285951886,2021-09-06,52.56
63,38.92780407045624,55.57056863249934,2021-09-07,54.0
64,39.989289584682254,56.95003641504489,2021-09-08,55.34
65,40.97705948797925,58.23370853434957,2021-09-09,56.63
66,41.933328256045684,59.470993710400116,2021-09-10,57.949997
67,42.91205800476123,60.7371145071548,2021-09-13,61.409996
68,45.47751373832345,64.05588185766536,2021-09-14,66.18
69,49.01428822532195,68.6311818370839,2021-09-15,70.09
70,44.22861666487029,87.21235878574119,2021-09-16,61.089996
71,38.55781074383933,76.35552257368239,2021-09-17,65.96
72,41.6263662669225,82.2303096679902,2021-09-20,73.76
73,46.54099799974192,91.63945340626708,2021-09-21,72.9
74,45.99913299603629,90.60204119261446,2021-09-22,70.91
75,44.74528595363101,88.20152882577358,2021-09-23,68.8
76,43.41582421903103,85.65624889812756,2021-09-24,70.36
77,44.39874241382511,87.5380624666254,2021-09-27,77.11
78,48.651747557609426,95.68052462260512,2021-09-28,79.35
79,50.06311124767668,98.38260693422215,2021-09-29,84.55
80,64.63050039129374,96.73599834715839,2021-09-30,89.95
81,68.8084623100552,102.73089361755956,2021-10-01,91.75
82,70.20112640241403,104.72920272265597,2021-10-04,94.3
83,72.17406607554037,107.56014933550338,2021-10-05,116.88
84,89.64898517932708,132.6401046518584,2021-10-06,106.1
85,81.30385709596186,120.66059883357661,2021-10-07,96.6
86,73.95357605754938,110.11354111737751,2021-10-08,84.65
87,64.70785787565055,96.84699621777206,2021-10-11,83.1
88,63.508753340534646,95.12640666561784,2021-10-12,86.18
89,65.89160784962726,98.54554057345769,2021-10-13,93.36
90,79.20291102510174,119.08567972100568,2021-10-14,101.30001
91,85.8493789414312,128.801592546612,2021-10-15,88.93
92,75.49446743425065,113.6652587822363,2021-10-18,90.73
93,77.00128778637375,115.86769270041516,2021-10-19,91.48
94,77.62912978715535,116.78537171938481,2021-10-20,93.98
