;low;high;mean;epochs
0;101.71251297279792;133.04749811633144;133.04749811633144;276
1;93.40740702210061;122.6853224507284;122.6853224507284;276
2;87.43486205728009;115.2334521812121;115.2334521812121;276
3;87.24366358170786;114.9948948777123;114.9948948777123;276
4;89.87598091883724;118.27921294923641;118.27921294923641;276
5;92.258946197494;121.25240041312594;121.25240041312594;276
6;84.27556216742003;111.2916342768148;111.2916342768148;276
7;87.05150954530139;114.75515391175973;114.75515391175973;276
8;100.11943893937371;131.05983294253593;131.05983294253593;276
9;107.0193094570276;139.6687085999897;139.6687085999897;276
10;104.41777350857856;136.4228102389114;136.4228102389114;276
11;99.02233796838134;129.69097663518903;129.69097663518903;276
12;98.53648768588404;129.08479350156983;129.08479350156983;276
13;98.63634071060974;129.20939863435714;129.20939863435714;276
14;96.96444215572212;127.1233908384449;127.1233908384449;276
15;91.72790713489918;120.58983302537688;120.58983302537688;276
16;93.01031909374302;122.18988573534548;122.18988573534548;276
17;99.70676612205479;130.54493977558576;130.54493977558576;276
18;99.82386239615741;130.6910481095982;130.6910481095982;276
19;98.38372741548343;128.8941991870412;128.8941991870412;276
20;97.28089924439412;127.51821624534332;127.51821624534332;276
21;97.50803297224307;127.80160476424138;127.80160476424138;276
22;100.72477131560498;131.81510822593387;131.81510822593387;276
23;106.27963755731679;138.7458217813542;138.7458217813542;276
24;107.16013446436288;139.84440849532112;139.84440849532112;276
25;107.1864956135712;139.87730444765404;139.87730444765404;276
26;105.96768701683733;138.35661877110638;138.35661877110638;276
27;108.08101152279215;140.9933748424336;140.9933748424336;276
28;113.21673795805512;147.40115619007878;147.40115619007878;276
29;117.09556282629464;152.24073274562488;152.24073274562488;276
30;119.22530448387289;154.89795631353107;154.89795631353107;276
31;118.07512981467322;153.4629135473674;153.4629135473674;276
32;118.8320942830298;154.4073528864969;154.4073528864969;276
33;122.73038793265377;159.271219181959;159.271219181959;276
34;122.38850676088188;158.844656825546;158.844656825546;276
35;123.3709959159407;160.07048725318452;160.07048725318452;276
36;119.35122890710234;155.05508750413483;155.05508750413483;276
37;120.08336112358542;155.96855434241712;155.96855434241712;276
38;116.35278997755395;151.31397436438348;151.31397436438348;276
39;116.0305995238764;150.9119730038652;150.9119730038652;276
40;109.6098841979714;142.90094552359244;142.90094552359244;276
41;101.41803378331386;132.6800695632875;132.6800695632875;276
42;93.9820813078237;123.40232598148717;123.40232598148717;276
43;89.75982787575167;118.13428827767673;118.13428827767673;276
44;85.0155793020129;112.21495263905288;112.21495263905288;276
45;79.40957514339674;105.2204076199041;105.2204076199041;276
46;75.68619228080235;100.57479141898665;100.57479141898665;276
47;74.45230431761301;99.035290441367;99.035290441367;276
48;71.96206346426636;95.92825048177798;95.92825048177798;276
49;68.20571683534435;91.24150817553576;91.24150817553576;276
50;63.86595408029292;85.8268381204812;85.8268381204812;276
51;63.21611106391103;85.01604783506711;85.01604783506711;276
52;63.92980403874722;85.90651339933254;85.90651339933254;276
53;66.13323484891832;88.65569890894604;88.65569890894604;276
54;65.95963718742227;88.43910100990836;88.43910100990836;276
55;63.60493801473375;85.50117682325727;85.50117682325727;276
56;62.4909205345207;84.111230363562;84.111230363562;276
57;61.31631433250704;82.64568979451397;82.64568979451397;276
58;57.36026781904221;77.70978654196598;77.70978654196598;276
59;55.5316696171534;75.42827099936444;75.42827099936444;276
60;55.256653044145175;75.0851383511451;75.0851383511451;276
