,PI_low,PI_hi
0,16.433008493754926,22.283884442551226
1,16.473965600854658,22.329540689187215
2,16.605370687189787,22.46897902918967
3,16.622349264841198,22.491912983711515
4,16.889042604913726,22.779399075270597
5,17.032483434228727,22.934576203163875
6,17.11854262177711,23.02786437651145
7,17.175090981416552,23.080334107508914
8,16.992521682537497,22.888630183545988
9,17.04859725143797,22.951147718769285
10,17.182111261675196,23.098799003720572
11,17.47618667010402,23.41311398307101
12,17.61996156380696,23.572546782027608
13,17.935877193914582,23.91588513741501
14,18.254549301832846,24.25762247243684
15,18.442260223098707,24.461606388927517
16,18.630488904124967,24.66205401549491
17,18.531197797626774,24.553458017645415
18,18.384059467526743,24.388835793616217
19,18.219654819639572,24.21042360356173
20,18.145935316374775,24.14571958827473
21,18.69231983015262,24.740192063922542
22,19.367759398486978,25.467265740274023
23,19.768316644744267,25.90398319267424
24,20.27698970594418,26.453063445283096
25,20.68021312236086,26.886060912387563
26,20.85603485037559,27.08182794143986
27,21.28185846493317,27.54147750031994
28,21.605101704680116,27.895072611879307
29,21.985345335133943,28.313112520037784
30,22.497801707867993,28.872081891668092
31,22.848733421330934,29.25560173093772
32,22.967335211251985,29.385182245429526
33,22.839622574387157,29.24315381299571
34,22.378421153058078,28.734622558216785
35,21.641368789250677,27.927774330666146
36,21.113366564208143,27.353891876300082
37,21.052159906760117,27.30263630888112
38,21.87309600470265,28.18776106480483
39,22.17964896134651,28.52465308017006
40,22.432930506383524,28.800544433166255
41,22.651429560571035,29.036341283455915
42,22.389898972165252,28.750721714293018
43,22.16392027608515,28.506017794488184
44,22.389907719563944,28.753383757158662
45,22.619831738858117,29.003885723860332
46,22.70054891466805,29.093227834777043
47,23.009216154535732,29.43312008468961
48,23.44678555428708,29.913658801246008
49,24.013156703641364,30.534623205031473
50,24.45759515221629,31.02152953502186
51,24.593987549433194,31.171630461214296
52,24.65055303426162,31.23361723878196
53,24.653527765829672,31.236347905606323
54,24.765703667393105,31.35983949139421
55,24.76841302013334,31.36420801622088
56,25.06721036061613,31.692449100688872
57,25.53854779937471,32.21042643722609
58,26.118444644751662,32.848063752520076
59,26.588683853765055,33.36451682403514
