,PI_low,PI_hi,date,actual
0,17.163065649073154,20.727720244637634,2021-03-30,18.91
1,17.199207990810304,20.77138479483423,2021-03-31,19.06
2,17.368652988383978,20.951694431187313,2021-04-01,19.06
3,17.347443072221942,20.936336216740827,2021-04-06,19.94
4,17.665483765798257,21.28274072017272,2021-04-07,19.26
5,17.818936239317736,21.45150009417314,2021-04-08,19.17
6,17.928649008933586,21.57380856348771,2021-04-09,19.0
7,18.057874391358926,21.70429264730319,2021-04-12,19.76
8,17.80784792585779,21.435614325343785,2021-04-13,19.58
9,17.845869726284963,21.479711810174056,2021-04-14,19.82
10,17.97912211537973,21.631500245096568,2021-04-15,20.46
11,18.34100125990262,22.023531426492823,2021-04-16,20.6
12,18.46469409746173,22.164517193643533,2021-04-19,21.12
13,18.81156695633185,22.548384464804734,2021-04-20,21.03
14,19.18359794984383,22.956333940569127,2021-04-21,21.32
15,19.389895245280606,23.185724368543305,2021-04-22,21.31
16,19.612249561436535,23.430765124799045,2021-04-23,19.9
17,19.515235735464493,23.32279314912359,2021-04-26,20.26
18,19.403479955443707,23.19583599181872,2021-04-27,21.529999
19,19.20790025624642,22.978279931850373,2021-04-28,21.699999
20,19.009087222807175,22.767938997366386,2021-04-29,22.49
21,19.599790924851067,23.42342815174704,2021-04-30,23.450003
22,20.354329400237994,24.259047928814656,2021-05-04,23.1
23,20.760529519467507,24.71293935850459,2021-05-05,23.999998
24,21.327549331555517,25.346296485378367,2021-05-06,24.320002
25,21.771273696710747,25.842686227574973,2021-05-07,24.22
26,21.926088485173853,26.015651129099744,2021-05-10,25.14
27,22.407305309932813,26.553897666831602,2021-05-11,25.91
28,22.730860622368176,26.916264571233473,2021-05-12,26.19
29,23.095256923265755,27.323347068905328,2021-05-13,26.109999
30,23.667665748959823,27.963653696030054,2021-05-14,26.78
31,24.06501571836703,28.408538015532486,2021-05-17,26.090002
32,24.195707522100655,28.555223513746892,2021-05-18,24.68
33,24.084465374546518,28.429568240413012,2021-05-19,22.59
34,23.695639313951375,27.995649709187497,2021-05-20,24.770002
35,22.92674641891816,27.13588760455105,2021-05-21,24.82
36,22.26259154930445,26.39414306216551,2021-05-24,24.78
37,22.08905991490691,26.197645810126932,2021-05-25,26.41
38,23.033540083029447,27.254629722459516,2021-05-26,26.33
39,23.318877394581143,27.574264105834903,2021-05-27,24.999998
40,23.59040970936614,27.876317942685752,2021-05-28,25.13
41,23.925611259134136,28.252527667113434,2021-06-01,25.88
42,23.645753268839748,27.940856866222855,2021-06-02,25.770002
43,23.32812327179199,27.58434418919391,2021-06-03,25.939999
44,23.56677990543877,27.850763587844135,2021-06-04,25.99
45,23.839426343129958,28.15654689660621,2021-06-07,26.580002
46,23.910122326518525,28.235357016299268,2021-06-08,27.89
47,24.2114061458792,28.572131619397602,2021-06-09,28.12
48,24.63305441759804,29.042891483437153,2021-06-10,28.28
49,25.24102339020529,29.721223052660417,2021-06-11,28.01
50,25.762909089117052,30.305121032119125,2021-06-14,28.79
51,25.912932274343678,30.47258320385489,2021-06-15,28.11
52,25.971603418200043,30.53889058036064,2021-06-16,28.23
53,25.972107071240014,30.53805711342927,2021-06-17,28.57
54,26.122795674780956,30.707983094728018,2021-06-18,29.609999
55,26.073415869968066,30.65188639654761,2021-06-21,29.409996
56,26.36842164432923,30.981251336942865,2021-06-22,30.829998
57,26.860681505519715,31.529890893141747,2021-06-23,31.389997
58,27.475648520280487,32.21827544110837,2021-06-24,31.979998
59,27.934608759503362,32.728867509096595,2021-06-25,32.279995
