,PI_low,PI_hi
0,17.410356519637986,19.85551009885639
1,17.754754542294673,20.2467370123845
2,17.475549403629152,19.928302747468607
3,17.789799516706225,20.284333947961294
4,17.95847394237713,20.476743084742427
5,17.98911287670988,20.50717491517102
6,18.67999924230279,21.292721378873402
7,18.264408482574275,20.81617430978327
8,18.128139288155793,20.656876541093755
9,17.96562777446927,20.47754710620497
10,18.535421743969493,21.127135832163294
11,18.490092847168928,21.07396076514482
12,18.673985097697503,21.276646986559655
13,19.194639261436183,21.87200442790857
14,19.391887496132586,22.09269612229972
15,19.830010446057273,22.585736226812653
16,19.831583376184806,22.584682966088888
17,20.05980547202149,22.840136822867795
18,20.08622655855005,22.870197812873123
19,19.002672853911204,21.633541592263725
20,19.099290090075105,21.748164178201144
21,20.079155333934256,22.875439475932257
22,20.38535260409905,23.217313319654743
23,21.0560653122675,23.969709852789595
24,21.892962579152023,24.91892938616208
25,21.779689926276983,24.780081310766896
26,22.455873454709653,25.544413854216288
27,22.803257666794643,25.938743014208825
28,22.79988425097088,25.926737271110376
29,23.4997607863665,26.722550840019778
30,24.195834051374643,27.512868332091294
31,24.547300834591155,27.902697263465644
32,24.54953622616584,27.898394405730535
33,25.060044885859536,28.478487389962574
34,24.6168149335344,27.97109194178237
35,23.470133223806044,26.664857556774546
36,21.65805266580825,24.6115945845594
37,23.019725230038876,26.1813114599085
38,23.256778748872502,26.45714503079223
39,23.318343926463946,26.50974572636443
40,24.54755845164267,27.91112938619288
41,24.701789874855216,28.079059358954275
42,23.73513357262397,26.967850814963406
43,23.661740679977804,26.889925168160268
44,24.205270030503478,27.517427082038743
45,24.223161294485642,27.53349827107973
46,24.364770098188007,27.68994956231436
47,24.420947001390193,27.75396930925889
48,24.883417041934692,28.279526944375014
49,25.938998290407163,29.479934314428014
50,26.313059234827456,29.89562154194771
51,26.51969040984797,30.120531453751443
52,26.344290774620656,29.91841948058008
53,26.90244355810298,30.55414173157529
54,26.48277108966253,30.074612538749204
55,26.512320541648783,30.10598662418018
56,26.760676192399036,30.392994196070173
57,27.581253154184147,31.325515438157662
58,27.588957764386656,31.327065822173086
59,28.65921788707509,32.539977660252575
60,29.254029047215777,33.212413359557054
