,low,high,mean,actual,date
0,26.503975964225678,30.36738638536736,27.98263954130132,28.179998,09.06.2021
1,26.768093305438118,30.64444817481611,28.253118073905455,28.280003,10.06.2021
2,26.865917353879308,30.747064901703098,28.353297702720592,27.95,11.06.2021
3,26.543107270175213,30.40843476269522,28.022712517209413,28.78,14.06.2021
4,27.355020730354653,31.260134481362535,28.85417898106567,28.11,15.06.2021
5,26.699621250152955,30.57261983914134,28.18299598797649,28.29,16.06.2021
6,26.875699477627915,30.757324887818736,28.363313135742516,28.580002,17.06.2021
7,27.159381066337573,31.05490946045386,28.653828156300698,29.580002,18.06.2021
8,28.137590630243366,32.08105143072783,29.655596334901055,29.500002,21.06.2021
9,28.059330829299395,31.998957487027223,29.575453194039966,30.9,22.06.2021
10,27.98811247088136,32.46365052941265,30.738733230786178,31.440002,23.06.2021
11,28.465460433127774,32.95822402451294,31.239448662780344,32.06,24.06.2021
12,29.013644463898597,33.526132527221684,31.81433957795793,32.38,25.06.2021
13,29.298256478746413,33.820355197557,32.11130855142611,32.35,28.06.2021
14,29.27156083816005,33.79276286229368,32.083466041158886,33.6,29.06.2021
15,30.384415151364223,34.942449120175446,33.243018751442264,34.99,30.06.2021
16,31.62222485163647,36.22111324187364,34.53256689128833,35.78,01.07.2021
17,32.326104874450884,36.9482005099951,35.26586355922608,35.85,02.07.2021
18,32.38848277907887,37.01263041184621,35.33083878636662,37.85,05.07.2021
19,34.17524390086429,38.85823325674359,37.1923769357269,33.68,06.07.2021
20,29.389845828775414,34.22930700030596,33.33155821518757,32.48,07.07.2021
21,28.41942401597466,33.180281044561454,32.249807120166835,33.88,08.07.2021
22,29.5518608478842,34.404477289283555,33.5118922286842,36.93,09.07.2021
23,32.02187239300385,37.076737053860796,36.26214194251579,34.65,12.07.2021
24,30.175603351747725,35.07885914927674,34.206155974100916,35.34,13.07.2021
25,30.73454209673182,35.683175142442956,34.82829061164714,34.23,14.07.2021
26,29.835376590242948,34.71100913200254,33.82746129205024,33.75,15.07.2021
27,29.446548415056142,34.290613931040774,33.394672590051805,35.09,16.07.2021
28,30.532032458449912,35.46422422778012,34.60288012216411,35.74,19.07.2021
29,31.05849342820658,36.033614103826665,35.18897831532609,35.35,20.07.2021
30,33.80368342285786,37.959101481715926,34.67874780031783,35.74,21.07.2021
31,34.157461798900584,38.32478706356299,35.02935541900756,35.68,22.07.2021
32,34.103036086250995,38.26852579723298,34.975413190635194,35.43,23.07.2021
33,33.876251039723975,38.03411181856409,34.75066327560071,37.08,26.07.2021
34,35.37301154573455,39.5812390180596,36.23401271482834,37.44,27.07.2021
35,35.69957425449738,39.918792561264105,36.55764640837679,39.89,28.07.2021
36,37.92203341680992,42.21289453621481,38.75697422116999,41.34,29.07.2021
37,39.23736082587969,43.566791060214086,40.05470224035757,40.65,30.07.2021
38,38.61145388658903,42.92252296220908,39.43716632535523,42.06,02.08.2021
39,39.890497487225744,44.23908156961273,40.69910245325228,41.51,03.08.2021
40,38.17276217888022,42.90379919028681,40.568935555428475,42.29,04.08.2021
41,38.888175550470656,43.63751469053449,41.282760737387314,43.1,05.08.2021
42,39.6310969286714,44.399440936167515,42.02403770685445,43.19,06.08.2021
43,39.713649058053335,44.484106903784784,42.10640431319978,43.34,09.08.2021
44,39.8512228225661,44.62519998408297,42.243677305516826,44.56,10.08.2021
45,40.97019658502335,45.772811757100804,43.36017461653082,46.55,11.08.2021
46,42.79540313971387,47.64472233078072,45.18134182874238,46.0,12.08.2021
47,42.29094913743646,47.12735480077312,44.678006586594854,44.98,13.08.2021
48,41.355415493861535,46.167885874520195,43.74454180597365,47.96,16.08.2021
49,44.088642063606464,48.97104900715748,46.47171638938791,46.78,17.08.2021
50,40.758486690698575,50.35758353082489,45.06568508114569,44.98,18.08.2021
51,39.24357584760618,48.599657186457065,43.428947444011705,40.4,19.08.2021
52,35.39242400165636,44.13073611623159,39.26375569427034,41.7,20.08.2021
53,36.4855454100573,45.39920771473655,40.44601248889783,42.48,23.08.2021
54,37.14141713071582,46.160287862884424,41.15536544129228,45.33,24.08.2021
55,39.537877224684294,48.94117136539772,43.74725437764532,45.48,25.08.2021
56,39.664004780029146,49.08752936459853,43.88366440674661,45.74,26.08.2021
57,39.88262962390036,49.341226495254624,44.12011632786313,47.850002,27.08.2021
58,41.66668941783451,51.41146119507229,46.03725798005996,50.53,31.08.2021
59,43.94144358883071,54.0511026366671,48.47074116365284,49.73,01.09.2021
60,47.0739466538698,50.83711560518414,48.16761338756017,51.83,02.09.2021
61,49.00580927792625,52.7883653865665,50.10020123803247,51.58,03.09.2021
62,48.77554145803011,52.555980917479935,49.87013018499335,52.56,06.09.2021
63,49.67916795026296,53.46721104325876,50.77196328787228,54.0,07.09.2021
64,51.00745386234454,54.80632194343111,52.097109363106966,55.34,08.09.2021
65,52.24349547185878,56.05244082697948,53.33023320122723,56.63,09.09.2021
66,53.43342336295465,57.25206089126075,54.51735013722292,57.949997,10.09.2021
67,54.651022296056645,58.47958249586636,55.73207065230233,61.409996,13.09.2021
68,57.84259758252591,61.697170360832644,58.91610133528273,66.18,14.09.2021
69,62.24076972383508,66.13130586169345,63.30394040564366,70.09,15.09.2021
70,63.86558610038922,71.72145789132162,67.74054954699263,61.089996,16.09.2021
71,55.774026968127544,63.12857616076415,59.32811426813578,65.96,17.09.2021
72,60.150639083818376,67.77845808747358,63.880309883203935,73.76,20.09.2021
73,67.1667605262143,75.22527407031832,71.17082551865855,72.9,21.09.2021
74,66.39319130455635,74.40422219510822,70.36700479821252,70.91,22.09.2021
75,64.60318634058534,72.50433699627136,68.50700143033693,68.8,23.09.2021
76,62.705229456947194,70.48987726755136,66.53481284441337,70.36,24.09.2021
77,64.10845824295454,71.97924496164848,67.99291709588634,77.11,27.09.2021
78,70.18007628405088,78.42355629565661,74.30198213620466,79.35,28.09.2021
79,72.19493516839509,80.56209158249833,76.39563771391698,84.55,29.09.2021
80,74.88961792180643,89.41180465864859,81.60867200730567,89.95,30.09.2021
81,79.59469014095271,94.86252207148769,86.67076925563538,91.75,01.10.2021
82,81.16305691718513,96.67943911958778,88.358146248899,94.3,04.10.2021
83,83.38490329128584,99.2533969733568,90.7485993318184,116.88,05.10.2021
84,103.0593964475325,122.04582401435836,111.9160300951394,106.1,06.10.2021
85,93.66650002973464,111.16438070135263,101.81037665832076,96.6,07.10.2021
86,85.38893437658419,101.57500976587292,92.90469184421582,84.65,08.10.2021
87,74.97674628609145,89.51274043438568,81.70241173798631,83.1,11.10.2021
88,73.62622290821238,87.9481853132691,80.24940093715486,86.18,12.10.2021
89,76.30985298616984,91.0571185197932,83.13667909020978,93.36,13.10.2021
90,79.49025191516081,91.55279109833766,89.89035852063299,101.30001,14.10.2021
91,86.18104465808288,99.00995139595105,97.3143326823337,88.93,15.10.2021
92,75.75751155280585,87.3925100871563,85.74856235019037,90.73,18.10.2021
93,77.27420173047666,89.08291729001792,87.43146430293453,91.48,19.10.2021
94,77.90616065609801,89.78726393137896,88.13267954031397,93.98,20.10.2021
95,80.01266229861812,92.13505233778791,90.47002243757066,87.54,21.10.2021
96,74.58629900076696,86.08714189200644,84.44899034445707,87.23,22.10.2021
97,74.3250938090383,85.79601689419152,84.15916962980863,88.25,25.10.2021
98,75.1845433309168,86.75391730749855,85.1128086351838,88.03,26.10.2021
99,74.99916646397045,86.54730648572549,84.90710856286319,86.83,27.10.2021
100,79.14453254739028,93.25167614178142,83.04991052817759,75.38,28.10.2021
101,68.80712710638262,81.4836688340009,72.46392670575123,64.4,29.10.2021
102,58.8930627472817,70.20000033380092,62.31591217557296,65.5,01.11.2021
103,59.88644303586313,71.33030786722207,63.33197124990261,70.7,02.11.2021
104,64.58230656610124,76.67428207108712,68.13761382062295,79.95,03.11.2021
105,72.93288396702363,86.18034754121804,76.68885406232643,73.93,04.11.2021
106,67.49816088870453,79.99358715730834,71.1235171443226,74.21,05.11.2021
107,67.75092759322247,80.28132214327245,71.38235551185691,78.36,08.11.2021
108,71.49734606309488,84.54613695271912,75.21879200785732,71.15,09.11.2021
109,64.98854017526833,77.13672916034751,68.55360706589784,71.44,10.11.2021
110,51.13189484462929,78.68272073398253,67.3707065625524,74.95,11.11.2021
111,53.525999358223814,82.36188991403836,70.55296072190949,74.5,12.11.2021
112,53.21906554892551,81.8902004044086,70.14498432058029,80.64,15.11.2021
113,57.407045711664,88.32613509221821,75.7116761189424,94.6,16.11.2021
114,66.92888063990691,102.95883171786865,88.36811389568423,94.78,17.11.2021
115,67.05165753677234,103.1475030241924,88.53130108306978,93.99,18.11.2021
116,66.5128086878892,102.31944062696245,87.81506972354521,87.09,19.11.2021
117,61.806477160858044,95.08701056769786,81.55944093968121,84.78,22.11.2021
118,60.23086936428757,92.66567633204794,79.46512759847545,91.38,23.11.2021
119,64.73258584766678,99.58369544144776,85.4488133421281,93.9,24.11.2021
120,79.07736196431651,96.14771885283868,91.88871147662897,92.45,25.11.2021
121,77.84939622880506,94.72987310031043,90.49863796049044,87.53,26.11.2021
122,73.68278494673811,89.91897404355277,85.78199585015184,93.79,29.11.2021
123,78.9842125342069,96.04016046688558,91.7832669289112,91.65,30.11.2021
124,77.1718942086507,93.94761240548273,89.7317082147791,95.3,01.12.2021
125,80.2629890941091,97.51668209617489,93.23085258639932,92.4,02.12.2021
126,77.80705200117603,94.68097934729798,90.45070555412227,89.21,03.12.2021
127,75.10552738305087,91.56171869173582,87.3925438186175,89.35,06.12.2021
128,75.22408784726605,91.69861782702453,87.52676692465086,95.350006,07.12.2021
129,80.30532207791774,97.56555336154653,93.2787737489471,102.15001,08.12.2021
130,83.29512700729644,113.91350603314415,98.12952652711505,100.19999,09.12.2021
131,81.75696113266031,111.85015255141171,96.3102932520124,104.5,10.12.2021
132,85.14881697001704,116.40012189004054,100.32194220131692,116.55,13.12.2021
133,94.6539098496833,129.15059173679342,111.5638848840099,127.55,14.12.2021
134,103.3305973955974,140.78985730098591,121.82609727608788,129.6,15.12.2021
135,104.94760493888325,142.95900388886855,123.73860366332453,135.1,16.12.2021
136,109.28593184610969,148.77861418332398,128.86968737172273,135.3,17.12.2021
137,109.44367140251111,148.99022288326518,129.05624483981114,146.56,20.12.2021
138,118.32532255050957,160.9044673191772,139.56090773118942,180.41,21.12.2021
139,145.0244599650159,196.720150533673,171.1398407119587,166.1,22.12.2021
140,142.8234821215789,170.23641098658288,154.40383006687173,126.1,23.12.2021
141,108.72759745647214,130.52946640781283,117.83225853829808,98.86,24.12.2021
142,85.50831001777841,103.48906780032486,92.92703893726221,96.0,29.12.2021
143,83.07045298804967,100.65002563678894,90.31217606487544,84.6,30.12.2021
144,73.35313299832019,89.33354766865972,79.88928385736125,65.1,31.12.2021
145,56.7324389752628,69.97764816346688,62.06177372496614,85.3,04.01.2022
146,73.94981443743433,90.02842139133317,80.52928773647929,94.41001,05.01.2022
147,81.7151453645901,99.07166872613048,88.85845128144855,97.33001,06.01.2022
148,84.20416177714203,101.97029751587992,91.52819524121114,87.34,07.01.2022
149,75.68869937195358,92.05347279887063,82.39442953027799,84.56,10.01.2022
150,57.0665996956614,89.46538708476812,75.01586353726549,80.65,11.01.2022
151,54.43876707644243,85.63920495297316,71.72822667120285,75.1,12.01.2022
152,50.70871117620815,80.20819795729649,67.06163080546776,84.48,13.01.2022
153,57.01284299032566,89.38710760713846,74.9486030036285,84.5,14.01.2022
154,57.0262737337943,89.40666623272547,74.96541251512755,75.73,17.01.2022
155,51.132133775812804,80.82470225177707,67.59136091600594,79.96,18.01.2022
156,53.975026947835964,84.96399667218053,71.14805116043694,74.28,19.01.2022
157,50.15760375213314,79.40577147058015,66.37214849467645,75.73,20.01.2022
158,51.132133775812804,80.82470225177707,67.59136091600594,79.9,21.01.2022
159,53.93470660787906,84.90529268586847,71.09760576020919,91.15,24.01.2022
160,61.4956192582399,95.91411161828354,80.5569306689344,91.7,25.01.2022
161,61.8652598539129,96.45230832558345,81.01937775819479,90.6,26.01.2022
162,61.12597304065669,95.37590366716324,80.09447233585362,90.35,27.01.2022
163,60.95795101049883,95.13124937906441,79.88425786964213,91.15,28.01.2022
164,61.4956192582399,95.91411161828354,80.5569306689344,84.13,31.01.2022
