,PI_low,PI_hi,date,actual
0,17.443522096960912,20.09980424615365,2021-03-30,18.91
1,17.736736749038517,20.43182457646343,2021-03-31,19.06
2,17.932257434095355,20.656922618940367,2021-04-01,19.06
3,17.952471686841896,20.67686508631357,2021-04-06,19.94
4,18.651016091979518,21.47298345894629,2021-04-07,19.26
5,18.25061962537417,21.01484399676654,2021-04-08,19.17
6,18.06473327595163,20.79840353813797,2021-04-09,19.0
7,17.920095223442903,20.63769620623163,2021-04-12,19.76
8,18.49745538480161,21.297282223268418,2021-04-13,19.58
9,18.476446104396814,21.273132257126086,2021-04-14,19.82
10,18.632695712650417,21.447043602548387,2021-04-15,20.46
11,19.180292849971792,22.072286962726075,2021-04-16,20.6
12,19.391172057482116,22.310550086634667,2021-04-19,21.12
13,19.81961718118465,22.794681396793244,2021-04-20,21.03
14,19.83096132525554,22.806363239734623,2021-04-21,21.32
15,20.041577617994015,23.043203371321376,2021-04-22,21.31
16,20.080058780055133,23.087307509102764,2021-04-23,19.9
17,18.96231999493636,21.811387788662234,2021-04-26,20.26
18,19.022276944798524,21.881656751151446,2021-04-27,21.529999
19,20.07984563921385,23.09370419839716,2021-04-28,21.699999
20,20.403872079150407,23.458093230329634,2021-04-29,22.49
21,21.020626643313577,24.15103541941852,2021-04-30,23.450003
22,21.802168646458636,25.034179320749093,2021-05-04,23.1
23,21.722814832816113,24.94027710465415,2021-05-05,23.999998
24,22.30164560437826,25.591137653100652,2021-05-06,24.320002
25,22.647912736689896,25.983484110458086,2021-05-07,24.22
26,22.644237227604386,25.975735147248137,2021-05-10,25.14
27,23.2622351544093,26.673100932814588,2021-05-11,25.91
28,23.92254523429245,27.419733299822173,2021-05-12,26.19
29,24.245479358218144,27.781247764061714,2021-05-13,26.109999
30,24.24670276200654,27.779806660928493,2021-05-14,26.78
31,24.69650040911029,28.287303628214612,2021-05-17,26.090002
32,24.32480126233587,27.867382290121338,2021-05-18,24.68
33,23.276170869345126,26.68094784224929,2021-05-19,22.59
34,21.585187450747757,24.77073009516338,2021-05-20,24.770002
35,22.772794912463645,26.119317659781323,2021-05-21,24.82
36,23.09423815932555,26.489687325157906,2021-05-24,24.78
37,23.11475167166947,26.504641927236737,2021-05-25,26.41
38,24.22005646076245,27.754092142448922,2021-05-26,26.33
39,24.40904240778925,27.967336104472274,2021-05-27,24.999998
40,23.52213995868702,26.959877376254724,2021-05-28,25.13
41,23.409260938752965,26.832201577026627,2021-06-01,25.88
42,23.91497590076261,27.408312893219055,2021-06-02,25.770002
43,23.954461658442114,27.452305286062266,2021-06-03,25.939999
44,24.067561950602148,27.577511485195874,2021-06-04,25.99
45,24.125022380558352,27.64280835234892,2021-06-07,26.580002
46,24.53775951706967,28.10876096639659,2021-06-08,27.89
47,25.51653453936553,29.215199098032315,2021-06-09,28.12
48,25.881400489330712,29.625154438557917,2021-06-10,28.28
49,26.049336745434836,29.810222043783504,2021-06-11,28.01
50,25.894211239514096,29.633997812226305,2021-06-14,28.79
51,26.385337511756244,30.188834345983338,2021-06-15,28.11
52,26.036452319977997,29.79508744241617,2021-06-16,28.23
53,26.030964128119205,29.78631035185333,2021-06-17,28.57
54,26.266449768140035,30.054920789070803,2021-06-18,29.609999
55,27.02398841647289,30.91103510525138,2021-06-21,29.409996
56,27.052009660947437,30.94112640314512,2021-06-22,30.829998
57,28.003205736815108,32.01293062650625,2021-06-23,31.389997
58,28.591833225299876,32.67934318740116,2021-06-24,31.979998
59,29.102580282408542,33.25123801102018,2021-06-25,32.279995
