;low;high;mean;epochs
0;43.42476316636642;83.88978684635833;83.88978684635833;206
1;56.056401978242114;108.15851675381343;108.15851675381343;206
2;16.529949414998338;32.189839883837706;32.189839883837706;206
3;-86.28558592351006;-165.3647304422609;-165.3647304422609;206
4;60.32923848544378;116.41346500807506;116.41346500807506;206
5;60.06178009038912;115.9050943144323;115.9050943144323;206
6;63.36268176606907;122.23903238676941;122.23903238676941;206
7;55.50674489165077;107.14546198187556;107.14546198187556;206
8;-587.5708884538775;-1128.2382066743228;-1128.2382066743228;206
9;-826.5848883833664;-1587.4822725163172;-1587.4822725163172;206
10;-305.1900608572806;-585.8970417878697;-585.8970417878697;206
11;-187.00640784453796;-358.85268045409947;-358.85268045409947;206
12;-517.9728678519089;-994.5372197687813;-994.5372197687813;206
13;-369.61350376993795;-709.5647632318686;-709.5647632318686;206
14;-738.6063160644611;-1418.4499477812976;-1418.4499477812976;206
15;-8.176369558528968;-15.273178081669242;-15.273178081669242;206
16;-44.85463203298072;-85.71307552070841;-85.71307552070841;206
17;-264.4651184654618;-507.62321928059754;-507.62321928059754;206
18;-292.85042910653715;-562.1536114130953;-562.1536114130953;206
19;-673.7505404409335;-1293.7897746899291;-1293.7897746899291;206
20;-17.786640604515526;-33.708295404696386;-33.708295404696386;206
21;-65.76155096770763;-125.8835583621302;-125.8835583621302;206
22;-347.3943347187039;-666.921991750967;-666.921991750967;206
23;-667.7088313664385;-1282.2141477331727;-1282.2141477331727;206
24;-657.3422169666376;-1262.183619876359;-1262.183619876359;206
25;-626.2161852354677;-1202.3334048077425;-1202.3334048077425;206
26;-731.4142843629597;-1404.4813498992135;-1404.4813498992135;206
27;-627.0832673013825;-1204.0681607707986;-1204.0681607707986;206
28;-1182.808991288021;-2271.750434481567;-2271.750434481567;206
29;-1118.6622787929648;-2148.4672553769083;-2148.4672553769083;206
30;-978.4416790976269;-1878.9713826868945;-1878.9713826868945;206
31;-802.2913015644034;-1540.6657592691809;-1540.6657592691809;206
32;-557.5146903029263;-1070.4196495673293;-1070.4196495673293;206
33;-650.5032619109405;-1248.9896304310678;-1248.9896304310678;206
34;-439.5016696306391;-843.72372886809;-843.72372886809;206
35;-540.423590870464;-1037.5320815101097;-1037.5320815101097;206
36;-197.16273721171586;-378.25692757523166;-378.25692757523166;206
37;-259.15986937329274;-497.3435547518056;-497.3435547518056;206
38;-68.36682901568179;-130.83998459543463;-130.83998459543463;206
39;-339.97311637478714;-652.5348212340259;-652.5348212340259;206
40;-12.513969971886091;-23.54517847314094;-23.54517847314094;206
41;49.180907509224724;94.97921212082682;94.97921212082682;206
42;38.2913516542858;74.05716450037558;74.05716450037558;206
43;55.95625303790321;107.99289031914769;107.99289031914769;206
44;53.84469169581031;103.93781071380202;103.93781071380202;206
45;59.17316399870614;114.1768854843181;114.1768854843181;206
46;58.59209053784782;113.04802906908532;113.04802906908532;206
47;60.2340399667172;116.21139163371812;116.21139163371812;206
48;58.08500831010415;112.07041019182691;112.07041019182691;206
49;53.84372380515883;103.91612256531864;103.91612256531864;206
50;58.489839363673546;112.85143013357238;112.85143013357238;206
51;47.31712617390937;91.37360367228193;91.37360367228193;206
52;49.01473239769286;94.63961813014855;94.63961813014855;206
53;24.082926497528547;46.71740078205719;46.71740078205719;206
54;38.41303153793856;74.26564937968497;74.26564937968497;206
55;40.74274433603838;78.74435068003758;78.74435068003758;206
56;29.645594431083932;57.42160249478439;57.42160249478439;206
57;40.045197256846855;77.42168803289132;77.42168803289132;206
58;46.70916138170244;90.23426691241534;90.23426691241534;206
59;46.54048331727567;89.91456708181546;89.91456708181546;206
60;37.20208319968004;71.9618600222823;71.9618600222823;206
