;low;high;mean;epochs
0;-194.25334558558387;20.027905054018213;20.027905054018213;21
1;-195.67137123923854;18.633811872086433;18.633811872086433;21
2;-195.64517313770492;18.64049913426975;18.64049913426975;21
3;-195.09060542790158;19.40937265543286;19.40937265543286;21
4;-194.55326325095214;20.577972424706154;20.577972424706154;21
5;-196.56689655887268;18.860629244597103;18.860629244597103;21
6;-186.39580408732198;29.167690425298385;29.167690425298385;21
7;-186.87247460938923;28.578067294440782;28.578067294440782;21
8;-198.12002795846217;17.523415739117365;17.523415739117365;21
9;-199.62013350104195;17.035071320519066;17.035071320519066;21
10;-164.76405413864387;27.0714262812531;27.0714262812531;21
11;-165.6272197431648;26.817650443854202;26.817650443854202;21
12;-165.79828322674103;26.531607652860398;26.531607652860398;21
13;-165.98750548026442;26.32985416150044;26.32985416150044;21
14;-167.07026289721102;26.661232036349865;26.661232036349865;21
15;-166.9416785671086;27.114425461420474;27.114425461420474;21
16;-167.95564629084373;26.918541244309683;26.918541244309683;21
17;-156.18521031785664;34.484853739417964;34.484853739417964;21
18;-170.43506610268366;28.662109230025813;28.662109230025813;21
19;-170.92853489242958;29.345039204478624;29.345039204478624;21
20;37.41318870266604;376.6967004921192;376.6967004921192;21
21;36.96648858387684;373.2208083410876;373.2208083410876;21
22;35.841257635366595;372.2869415938871;372.2869415938871;21
23;37.47694678624821;375.5740500003909;375.5740500003909;21
24;37.77431210438552;379.1880837288655;379.1880837288655;21
25;38.05364795651031;377.3127718995143;377.3127718995143;21
26;39.43534482645031;379.90611409965413;379.90611409965413;21
27;40.5628245390407;380.77919675376853;380.77919675376853;21
28;40.6207470798349;381.7851813650191;381.7851813650191;21
29;38.69891956548607;381.0048602292105;381.0048602292105;21
30;-352.740750969494;209.08144926871685;209.08144926871685;21
31;-414.1431867147937;124.29819736084696;124.29819736084696;21
32;-420.5156444145312;114.76357258689826;114.76357258689826;21
33;-419.1116510487366;114.95102956061874;114.95102956061874;21
34;-414.0668186866322;119.27598756538875;119.27598756538875;21
35;-386.5529203144299;150.790324797956;150.790324797956;21
36;-390.0003655998477;147.14458349595148;147.14458349595148;21
37;-375.21600108081225;165.9780951053278;165.9780951053278;21
38;-301.83383688958685;261.49816106438925;261.49816106438925;21
39;-355.7538024975512;183.97481911284325;183.97481911284325;21
40;-175.02315199247084;17.643364815152033;17.643364815152033;21
41;-175.79396085622045;17.945283880551624;17.945283880551624;21
42;-164.2986724122589;46.27191932277767;46.27191932277767;21
43;-164.7514723036155;45.02060017229398;45.02060017229398;21
44;-166.32568586645627;41.122373261281524;41.122373261281524;21
45;-166.70086966558682;40.77222945018333;40.77222945018333;21
46;-166.99270302408698;40.5917829984827;40.5917829984827;21
47;-167.45639817741184;40.22323305338856;40.22323305338856;21
48;-179.78986845696397;13.689332012535806;13.689332012535806;21
49;-180.06229498145254;13.924600521555151;13.924600521555151;21
50;-173.78412795959534;38.3651748664423;38.3651748664423;21
51;-170.69525935057626;41.85862986493976;41.85862986493976;21
52;-163.91434738714256;48.43121632398928;48.43121632398928;21
53;-102.09590153083737;85.93160612440356;85.93160612440356;21
54;-108.43335721766745;79.27728271295115;79.27728271295115;21
55;-114.05711140456312;74.12351459689455;74.12351459689455;21
56;-131.48870975491897;59.706912955525155;59.706912955525155;21
57;-133.44836148109576;58.107501991166394;58.107501991166394;21
58;-180.40779509472523;32.341343062048935;32.341343062048935;21
59;-192.18664144537203;22.447658127424283;22.447658127424283;21
60;4.188617898176841;28.617266063312723;28.617266063312723;21
61;6.271036682876215;32.2379111581829;32.2379111581829;21
62;0.7965919980365479;25.334666428789593;25.334666428789593;21
63;1.559843608999308;26.3372329186384;26.3372329186384;21
64;-1.5321289971891328;23.86114689954727;23.86114689954727;21
65;-5.005638863773298;21.164288466888397;21.164288466888397;21
66;-8.106016928450037;17.860111941016324;17.860111941016324;21
67;-10.935477951527012;19.488025990090858;19.488025990090858;21
68;-15.478939929098928;23.19122321434297;23.19122321434297;21
69;-24.156760289918395;13.991540606310718;13.991540606310718;21
70;30.253478051842972;70.71027301313568;70.71027301313568;21
71;28.614889400775525;69.86248895492291;69.86248895492291;21
72;34.42403310391548;72.73613959765218;72.73613959765218;21
73;32.26937980052936;72.084290353742;72.084290353742;21
74;28.222995879051982;69.87706094616222;69.87706094616222;21
75;-1.3648722495572965;41.64211885930388;41.64211885930388;21
76;-0.1327294347669995;42.250926758720176;42.250926758720176;21
77;0.7573538757932055;42.474543858849295;42.474543858849295;21
78;33.3143748466602;73.77884652633149;73.77884652633149;21
79;29.70400660363627;71.94545165943417;71.94545165943417;21
80;-406.2429186990092;219.3139329996554;219.3139329996554;21
81;-305.92604781206234;229.38610233932076;229.38610233932076;21
82;-289.62750048730544;240.35076116711207;240.35076116711207;21
83;-285.9832883448754;243.42320255452572;243.42320255452572;21
84;-281.6028083549667;247.40380731570392;247.40380731570392;21
85;-259.1548807272222;275.1388041722655;275.1388041722655;21
86;-292.24157629226414;240.3172320946772;240.3172320946772;21
87;-266.0097208097905;232.603071794165;232.603071794165;21
88;-246.36993732712077;234.61063343906918;234.61063343906918;21
89;-172.09132582298835;233.46173987052566;233.46173987052566;21
90;89.8295856713672;169.86340848861005;169.86340848861005;21
91;98.74495703674735;177.33346544822305;177.33346544822305;21
92;105.02147683891585;185.68619604075218;185.68619604075218;21
93;91.41580201248574;172.72674854803188;172.72674854803188;21
94;96.85561291953614;178.7720897808518;178.7720897808518;21
95;95.73098913732754;177.83812183926764;177.83812183926764;21
96;96.64580323085909;179.4664743973378;179.4664743973378;21
97;81.212327338181;168.51426247873007;168.51426247873007;21
98;83.64790749427861;170.0941091955916;170.0941091955916;21
99;86.24114850003483;173.17096940442275;173.17096940442275;21
100;-236.70200581850136;117.2849880679348;117.2849880679348;21
101;-203.67550966788477;117.74121732451361;117.74121732451361;21
102;-192.53688645085384;124.41842753239165;124.41842753239165;21
103;-184.50592026673152;128.9383084076282;128.9383084076282;21
104;-182.46871991125113;129.4074905453086;129.4074905453086;21
105;-184.96064285137663;127.48070450616306;127.48070450616306;21
106;-190.44688511477173;123.31630825671505;123.31630825671505;21
107;-183.24060818175917;127.25115066886238;127.25115066886238;21
108;-184.16529997151272;124.96028972514218;124.96028972514218;21
109;-167.12553751830086;121.79411985086828;121.79411985086828;21
110;26.145638219010472;514.0356715472753;514.0356715472753;21
111;-0.8548673136958254;480.44241938554103;480.44241938554103;21
112;10.05001936484537;473.77447408567315;473.77447408567315;21
113;8.167736366845803;468.39052810028363;468.39052810028363;21
114;27.282478412084437;483.9557984337885;483.9557984337885;21
115;68.49483561666338;518.1447482003518;518.1447482003518;21
116;69.64759705942473;517.9707838111123;517.9707838111123;21
117;67.93044080782984;514.9043691114334;514.9043691114334;21
118;71.71911355476807;522.1953569873448;522.1953569873448;21
119;60.42109793973681;509.41158294456505;509.41158294456505;21
120;-295.8598152095686;82.20436961213476;82.20436961213476;21
121;-297.33995172711667;81.70012924244496;81.70012924244496;21
122;-278.0565748635084;100.12921187582852;100.12921187582852;21
123;-271.29710486557883;106.24118398834297;106.24118398834297;21
124;-276.72993898207056;101.40495822613273;101.40495822613273;21
125;-276.31926968575544;101.69800591723617;101.69800591723617;21
126;-284.35189995529703;94.38198929711277;94.38198929711277;21
127;-284.3098030917168;94.4258514404959;94.4258514404959;21
128;-295.2582258428495;83.80281360793906;83.80281360793906;21
129;-295.18972848896846;84.48924884340178;84.48924884340178;21
130;89.87389194565615;322.13156446956265;322.13156446956265;21
131;105.01384228486377;337.3695271912032;337.3695271912032;21
132;98.46640825205061;333.074140434087;333.074140434087;21
133;104.48450570803962;336.79526030805783;336.79526030805783;21
134;127.24606846204125;359.7748182519882;359.7748182519882;21
135;142.89619590811023;376.6265615404596;376.6265615404596;21
136;144.7162331163715;374.0205587985486;374.0205587985486;21
137;147.00414817914674;380.4881617065168;380.4881617065168;21
138;148.51897188263104;383.0056081189519;383.0056081189519;21
139;158.06830357366385;395.8388774591355;395.8388774591355;21
140;131.27423458351439;282.43145613359627;282.43145613359627;21
141;124.50808575626682;268.37645575631336;268.37645575631336;21
142;101.96012185841728;221.83720371105807;221.83720371105807;21
143;82.60065806215742;183.4951914660106;183.4951914660106;21
144;78.44296312966821;181.32774269500848;181.32774269500848;21
145;68.7296515619116;163.48508151462343;163.48508151462343;21
146;49.411137759551075;131.45370844475036;131.45370844475036;21
147;68.89778040836326;164.25373156485608;164.25373156485608;21
148;77.39617469418346;174.45967987964895;174.45967987964895;21
149;79.89398939619893;179.28797874847672;179.28797874847672;21
150;-127.44296954215955;147.35452811047335;147.35452811047335;21
151;-124.9764801237804;150.22422092842157;150.22422092842157;21
152;-121.37009219317832;154.2699386535402;154.2699386535402;21
153;-116.15228489802954;159.92032945096514;159.92032945096514;21
154;-125.93578039272732;150.07312646987697;150.07312646987697;21
155;-126.5811981713683;145.35099175327264;145.35099175327264;21
156;-117.84776306389186;154.9780632185559;154.9780632185559;21
157;-120.31189127998685;150.74469737476997;150.74469737476997;21
158;-115.5463554166358;161.4107540641799;161.4107540641799;21
159;-116.80467384531894;159.85414832408662;159.85414832408662;21
160;-120.35691153687125;155.43037962563525;155.43037962563525;21
161;-130.20478914718345;143.49030813426282;143.49030813426282;21
162;-132.08952329803037;142.72139947616094;142.72139947616094;21
163;-130.96484891862997;143.17882057770223;143.17882057770223;21
164;-130.24985437934947;143.3263507451798;143.3263507451798;21
