,PI_low,PI_hi
0,16.34539017479243,20.077730739976026
1,16.547254756744547,20.305143393427038
2,16.486230685843797,20.22498420309119
3,16.576368194027157,20.336098219734964
4,16.847353857995532,20.618199363380334
5,16.90764481064423,20.680271397284518
6,17.371234025409652,21.214428218122546
7,17.351859461335806,21.15540668550745
8,17.046745944587386,20.829590478518128
9,16.91641684989233,20.687450177943344
10,17.256435136267687,21.082118268834357
11,17.464465833476943,21.282808358509055
12,17.52235870525563,21.353241550328573
13,17.943200491455965,21.827751214741095
14,18.265065399895494,22.168131347735436
15,18.584663808053733,22.52887751932397
16,18.742233719096696,22.688766907851544
17,18.85479506061501,22.82032840013928
18,18.963089026804155,22.933379287977147
19,18.211431340851476,22.08682316810144
20,17.872653645054893,21.741017676675508
21,18.640090344612084,22.628687309603553
22,19.24348824699204,23.245387418129816
23,19.703269386460846,23.768559600662766
24,20.48404420578009,24.63640109841455
25,20.688121017180784,24.827818329465536
26,20.99295652681455,25.195836915839703
27,21.501837184729812,25.739805607544564
28,21.57874332837596,25.816078981617988
29,21.987947131831152,26.295762301144908
30,22.723371986671307,27.10324034140111
31,23.161062494773507,27.57184785255212
32,23.232225047159723,27.64252153623417
33,23.526301379609535,27.987605305666914
34,23.4543955447404,27.875785953002133
35,22.48917332308286,26.79706709578202
36,20.880620215207568,25.01324962935208
37,21.13142809445774,25.425806889777697
38,22.047516300885256,26.336935444351678
39,22.04767252203367,26.335282678810767
40,22.81497215847761,27.243080445729248
41,23.42556411866339,27.856014367910355
42,22.7440992558705,27.079388526030982
43,22.28863933135377,26.604857424331538
44,22.704889965270674,27.082190650478434
45,22.945194682752025,27.32495954713115
46,22.984782698754223,27.374385429790653
47,23.075782749729374,27.47242257820644
48,23.381965974775152,27.825357076360632
49,24.248452488149816,28.808471178014337
50,24.874784098646018,29.46425811355879
51,25.0429975610466,29.648337509138184
52,24.9767570836604,29.564782110460857
53,25.24737042877192,29.89280192270287
54,25.226238191974296,29.831745819074534
55,25.014996768236593,29.616439072597093
56,25.226317904184878,29.855341865435133
57,25.86529098421941,30.583344490886766
58,26.178151061723213,30.893290452599338
59,26.785843936859187,31.614150026203692
60,27.614294296680658,32.49901544023671
