,low,high,mean,actual,date
0,23.291539174480462,30.343369584991468,30.343369584991468,28.179998,09.06.2021
1,23.52625533082262,30.58034996566682,30.58034996566682,28.280003,10.06.2021
2,23.613192550160836,30.668122038669782,30.668122038669782,27.95,11.06.2021
3,23.326313500024728,30.378478414192653,30.378478414192653,28.78,14.06.2021
4,24.04785756468864,31.106971159864198,31.106971159864198,28.11,15.06.2021
5,23.465409396724237,30.518913730997394,30.518913730997394,28.29,16.06.2021
6,23.621885428808127,30.67689784049253,30.67689784049253,28.580002,17.06.2021
7,23.873992964355068,30.931432635768473,30.931432635768473,29.580002,18.06.2021
8,24.732419298577103,31.811939022302383,31.811939022302383,29.500002,21.06.2021
9,24.664200229250955,31.741100142822873,31.741100142822873,30.9,22.06.2021
10,25.857983345266717,32.980748207730635,32.980748207730635,31.440002,23.06.2021
11,26.31844168379373,33.4589029140908,33.4589029140908,32.06,24.06.2021
12,26.847120497124436,34.00789368897537,34.00789368897537,32.38,25.06.2021
13,27.11998271965352,34.29124077402811,34.29124077402811,32.35,28.06.2021
14,27.09439740633173,34.26466881546616,34.26466881546616,33.6,29.06.2021
15,28.160276443379328,35.371499251890654,35.371499251890654,34.99,30.06.2021
16,29.345205050829534,36.600817056805276,36.600817056805276,35.78,01.07.2021
17,30.018347279623537,37.29814193232608,37.29814193232608,35.85,02.07.2021
18,30.07799574684925,37.35992953638303,37.35992953638303,37.85,05.07.2021
19,31.78217100779153,39.12531615558672,39.12531615558672,33.68,06.07.2021
20,28.228492701750373,35.44234094232526,35.44234094232526,32.48,07.07.2021
21,27.20524882618468,34.37978304872852,34.37978304872852,33.88,08.07.2021
22,28.39903334767799,35.61943111363629,35.61943111363629,36.93,09.07.2021
23,30.99824622754453,38.31323966001147,38.31323966001147,34.65,12.07.2021
24,29.05549536890755,36.30070262457999,36.30070262457999,35.34,13.07.2021
25,29.643430521227497,36.909755077090004,36.909755077090004,34.23,14.07.2021
26,28.697478072573766,35.929344535340775,35.929344535340775,33.75,15.07.2021
27,28.28818052234749,35.50432250228412,35.50432250228412,35.09,16.07.2021
28,29.43041072182604,36.68908385790587,36.68908385790587,35.74,19.07.2021
29,29.984267259989014,37.26283633626788,37.26283633626788,35.35,20.07.2021
