,PI_low,PI_hi,date,actual
0,88.569161470323,125.56697211862286,2022-10-26,101.13
1,82.06013567807926,117.01322307394287,2022-10-27,105.96
2,84.60805356689089,120.27402941701735,2022-10-28,107.69
3,86.80385345318686,123.19793213553012,2022-10-31,80.03
4,84.73377886357233,120.69224941910186,2022-11-01,115.58
5,84.09820761061822,119.63491087565015,2022-11-02,129.0
6,81.24937190177221,116.61107622158144,2022-11-03,124.76001
7,99.92090853799384,141.08346758385096,2022-11-04,115.07001
8,103.00343250552096,145.45009824359826,2022-11-07,111.39
9,98.83326946873322,139.66321320045645,2022-11-08,116.79
10,95.02324683003289,134.31764314002686,2022-11-09,112.91
11,94.02297561258482,133.0358279443363,2022-11-10,109.91
12,94.98379141494091,134.34183794035027,2022-11-11,98.23
13,90.98529519027316,128.99054807771407,2022-11-14,114.80999
14,89.6303512321822,126.96801171486757,2022-11-15,122.5
15,89.44317227702248,126.78348490339106,2022-11-16,109.69
16,96.04868443740104,135.88317236178995,2022-11-17,115.57
17,97.48368404920446,137.71278777359913,2022-11-18,110.55999
18,92.71291403863356,131.26618722943036,2022-11-21,114.31999
19,94.68592337519499,133.87606799817132,2022-11-22,122.020004
20,94.55078611254156,133.6459997738249,2022-11-23,130.01
21,98.8487828447547,139.4977408885059,2022-11-24,121.91
22,102.35140896096438,144.45658253300297,2022-11-25,125.100006
23,104.42149957934132,147.26992994544634,2022-11-28,123.37
24,101.57352264226441,143.33199223452698,2022-11-29,130.19
25,103.52033419969564,145.9531597179477,2022-11-30,139.03
26,105.51878734706452,148.65137992809792,2022-12-01,136.85
27,109.66775789402098,154.511664373128,2022-12-02,136.95
28,112.68272617652947,158.86526858098637,2022-12-05,135.53
29,111.72618080636619,157.37105255603853,2022-12-06,139.08
30,112.01601412072316,157.72968625046212,2022-12-07,148.3
31,113.47110023775356,159.79823872414133,2022-12-08,134.71
32,114.49272608212928,161.68117936242902,2022-12-09,142.52
33,116.25328095472858,164.55836440350944,2022-12-12,135.71
34,111.97630039596052,157.77574304969164,2022-12-13,137.32
35,113.72482013397503,160.5882323068568,2022-12-14,131.18
36,110.69966988840937,155.969613473716,2022-12-15,134.87
37,110.64273510794082,155.876985721879,2022-12-16,118.12
38,106.35258322193151,150.1013849274535,2022-12-19,107.01
39,102.53615401020564,144.92501078377373,2022-12-20,106.28001
40,93.76753755633425,132.67162610445783,2022-12-21,97.81
41,87.79312770665977,124.63924954567513,2022-12-22,92.06
42,84.90869150007445,120.71561935465351,2022-12-23,83.52
43,78.8653203662187,112.73746624953353,2022-12-28,82.61
44,74.31724165035374,106.98290382222407,2022-12-29,82.58
45,70.0543941445698,101.75452374250794,2022-12-30,75.32
46,68.57456516684073,99.87153440144229,2023-01-03,71.14
47,66.27940174956252,96.91633922332555,2023-01-04,64.49
48,60.847343569778765,90.16357020646086,2023-01-05,70.54
49,58.02080232817774,86.6794616262374,2023-01-06,69.15
50,55.79967545609246,84.00411754245935,2023-01-09,74.97
51,59.45850463591495,88.55929946602258,2023-01-10,69.08
52,59.292721920815985,88.38934526551394,2023-01-11,65.87
53,60.38695990825075,89.58217801982751,2023-01-12,67.63
54,56.94237024167791,85.3448686479527,2023-01-13,63.35
55,55.105166135617594,83.09157913941343,2023-01-16,54.990005
56,53.806026313756476,81.33088370689788,2023-01-17,59.189995
57,50.10696401562111,76.79830233829205,2023-01-18,62.48
58,46.96463581091378,72.89265395269858,2023-01-19,60.9
59,49.91533122223744,76.54826412549133,2023-01-20,67.91
