,PI_low,PI_hi,date,actual
83,52.26784977295155,66.69274303042214,2021-10-05,116.88
84,56.125052696555045,71.54334113459178,2021-10-06,106.1
85,53.64111161704725,68.42424705861185,2021-10-07,96.6
86,52.78630166373024,67.34566324306294,2021-10-08,84.65
87,50.18622111377612,64.05750560874034,2021-10-11,83.1
88,50.45222280504835,64.38437123287103,2021-10-12,86.18
89,50.78271400752631,64.80615515139101,2021-10-13,93.36
90,50.16674989239245,70.27106263658546,2021-10-14,101.299995
91,51.15967589023616,71.6718800386972,2021-10-15,88.93
92,49.207240776545845,68.85947423854688,2021-10-18,90.73
93,49.877437431923525,69.85953818026304,2021-10-19,91.48
94,49.75083643238441,69.66317510757294,2021-10-20,93.98
95,50.248407892788286,70.37316177946198,2021-10-21,87.54
96,49.07630308927067,68.69097646751081,2021-10-22,87.23
97,49.26219881998469,68.97927222701249,2021-10-25,88.25
98,49.28969541875596,69.01484817994472,2021-10-26,88.03
99,49.294298945515294,69.01963854938113,2021-10-27,86.83
100,52.39493656345108,75.85240771009768,2021-10-28,75.38
101,49.646999791013,72.1128713844212,2021-10-29,64.4
102,46.77127480682543,68.28307426788811,2021-11-01,65.5
103,47.28786961979591,68.99546193737862,2021-11-02,70.7
104,48.61606750141516,70.77904663178015,2021-11-03,79.95
105,50.908149662368366,73.8927042778669,2021-11-04,73.93
106,49.09261376296999,71.37168226226346,2021-11-05,74.21
107,49.54887389226513,72.05435668682262,2021-11-08,78.36
108,50.50122873280529,73.33007641173484,2021-11-09,71.15
109,48.44324411480168,70.50556043806995,2021-11-10,71.44
110,47.283818593752805,73.46020361699743,2021-11-11,74.95
111,48.02634080381104,74.53468851941709,2021-11-12,74.5
112,47.83198705111046,74.2557116422364,2021-11-15,80.64
113,49.465308712543234,76.61273948733137,2021-11-16,94.600006
114,52.266427554173994,80.67008219693773,2021-11-17,94.78001
115,51.96160576748745,80.2228345279731,2021-11-18,93.98999
116,52.03426016527965,80.32537932523496,2021-11-19,87.09
117,50.604387481263835,78.25912574235363,2021-11-22,84.78
118,50.37818300340607,77.93377091426964,2021-11-23,91.38
119,51.75603287323901,79.93017412353485,2021-11-24,93.9
120,43.61841964311665,69.30656025399531,2021-11-25,92.45
121,43.419689550511876,69.04706760798469,2021-11-26,87.53
122,42.70348350871171,68.06977245329972,2021-11-29,93.79
123,43.817032232437825,69.57095122298912,2021-11-30,91.65
124,43.227000566064106,68.7931198990219,2021-12-01,95.30001
125,43.95119932238389,69.76812754573146,2021-12-02,92.4
126,43.34389972499527,68.95707088811169,2021-12-03,89.21
127,43.023865207540695,68.50301660962198,2021-12-06,89.35
128,43.082796495108184,68.57009063945868,2021-12-07,95.35
129,43.951908632546896,69.76275699518223,2021-12-08,102.149994
130,44.6142311839044,74.97962542887313,2021-12-09,100.200005
131,44.382319285070714,74.57133570369795,2021-12-10,104.5
132,44.88755793853015,75.4535448207902,2021-12-13,116.55
133,45.96131816816671,77.31471655965888,2021-12-14,127.55
134,46.75742990285564,78.70635624947235,2021-12-15,129.6
135,46.86224975191444,78.89593541056256,2021-12-16,135.1
136,47.27406097714568,79.63191785011895,2021-12-17,135.3
137,47.255725482434705,79.60904664562034,2021-12-20,146.56
138,47.98527195297653,80.9018440680218,2021-12-21,180.41
139,49.51293615654925,83.58976669577721,2021-12-22,166.1
140,55.41218892424291,81.14698581241271,2021-12-23,126.1
141,51.565294318736996,75.8993608596424,2021-12-24,98.86001
142,48.551651343260446,71.64804029712138,2021-12-29,96.0
143,48.77186135442949,71.95474379716913,2021-12-30,84.6
144,46.427878173038465,68.62336903643154,2021-12-31,65.1
145,42.27000275419946,62.86659059170999,2022-01-04,85.3
146,47.6183547325866,70.36803730763855,2022-01-05,94.41
147,48.101664283845864,71.00701435090163,2022-01-06,97.33
148,48.6380694030584,71.76094254518478,2022-01-07,87.34
149,46.70744782591245,69.02694949573238,2022-01-10,84.56
150,54.692407820819255,79.8853922242998,2022-01-11,80.65
151,53.52062881556967,78.16371805855233,2022-01-12,75.1
152,52.0178232689718,76.1030238065251,2022-01-13,84.48
153,54.68928934733778,79.8906863769544,2022-01-14,84.5
154,54.31271111492485,79.29135042966895,2022-01-17,75.73
155,52.01276412288435,76.08626166555715,2022-01-18,79.96
156,53.469633497708756,78.17351525812663,2022-01-19,74.28
157,51.51077597839823,75.39869390048621,2022-01-20,75.73
158,52.205620366128606,76.41079936833333,2022-01-21,79.9
159,53.22607202716,77.79695114271598,2022-01-24,91.15
160,47.28711671300827,81.32569515856022,2022-01-25,91.7
161,47.11516083002438,81.04113403816851,2022-01-26,90.6
162,47.04238242405537,80.92873003724398,2022-01-27,90.35
163,47.03599517253883,80.92063407484503,2022-01-28,91.15
164,47.19420220252916,81.1800636095514,2022-01-31,84.13
