,low,high,mean,actual,date
0,17.180322849853212,23.413579320040675,23.413579320040675,18.91,30.03.2021
1,17.22816927263686,23.46325468836699,23.46325468836699,19.06,31.03.2021
2,17.370249819854408,23.60992515583999,23.60992515583999,19.06,01.04.2021
3,17.39414808267955,23.63589384169272,23.63589384169272,19.94,06.04.2021
4,17.687540146786894,23.93940639967696,23.93940639967696,19.26,07.04.2021
5,17.838340988077203,24.095841920953394,24.095841920953394,19.17,08.04.2021
6,17.923351535006766,24.184202967986216,24.184202967986216,19.0,09.04.2021
7,17.97176961877512,24.23198594132867,24.23198594132867,19.76,12.04.2021
8,17.792140554680557,24.04707578927948,24.04707578927948,19.58,13.04.2021
9,17.857260009803863,24.11518968841858,24.11518968841858,19.82,14.04.2021
10,18.003405633355555,24.267749249656458,24.267749249656458,20.46,15.04.2021
11,18.321085897145068,24.5961586291471,24.5961586291471,20.6,16.04.2021
12,18.484133712613147,24.76642736063107,24.76642736063107,21.12,19.04.2021
13,18.827987794914772,25.123587345162957,25.123587345162957,21.03,20.04.2021
14,19.16574765079214,25.47323935115862,25.47323935115862,21.32,21.04.2021
15,19.368280731128525,25.683598273251178,25.683598273251178,21.31,22.04.2021
16,19.56648446512814,25.888356396127183,25.888356396127183,19.9,23.04.2021
17,19.442340397319786,25.759367994284624,25.759367994284624,20.26,26.04.2021
18,19.27401087788308,25.58322741742756,25.58322741742756,21.529999,27.04.2021
19,19.11763326192191,25.4206169718939,25.4206169718939,21.699999,28.04.2021
20,19.067612925759995,25.372833998551442,25.372833998551442,22.49,29.04.2021
21,19.661006884110364,25.989338337831004,25.989338337831004,23.450003,30.04.2021
22,20.39023315975599,26.74459613275656,26.74459613275656,23.1,04.05.2021
23,20.821090594251757,27.19255904378612,27.19255904378612,23.999998,05.05.2021
24,21.366516775062028,27.757926829550005,27.757926829550005,24.320002,06.05.2021
25,21.80129575463177,28.207764887171646,28.207764887171646,24.22,07.05.2021
26,21.99441614116823,28.409750947083012,28.409750947083012,25.14,10.05.2021
27,22.454648818893272,28.886178632661462,28.886178632661462,25.91,11.05.2021
28,22.81777058684111,29.263277758090997,29.263277758090997,26.19,12.05.2021
29,23.23696071632571,29.699873978937557,29.699873978937557,26.109999,13.05.2021
30,23.783457529454324,30.26696413982347,30.26696413982347,26.78,14.05.2021
31,24.16359113980915,30.66215190011826,30.66215190011826,26.090002,17.05.2021
32,24.286041169139114,30.789605195092403,30.789605195092403,24.68,18.05.2021
33,24.124480411448065,30.621349597334753,30.621349597334753,22.59,19.05.2021
34,23.585045582725368,30.05974688909084,30.05974688909084,24.770002,20.05.2021
35,22.808658507869346,29.25172133559842,29.25172133559842,24.82,21.05.2021
36,22.27068240028004,28.69304838990113,28.69304838990113,24.78,24.05.2021
37,22.221497379091467,28.647576701057186,28.647576701057186,26.41,25.05.2021
38,23.106806816010018,29.563121336738043,29.563121336738043,26.33,26.05.2021
39,23.448783287663595,29.919088718181143,29.919088718181143,24.999998,27.05.2021
40,23.702192963610976,30.182774739545433,30.182774739545433,25.13,28.05.2021
41,23.9169600818313,30.405308562178682,30.405308562178682,25.88,01.06.2021
42,23.647962787826764,30.125428764988968,30.125428764988968,25.770002,02.06.2021
43,23.41865650736391,29.887445311432803,29.887445311432803,25.939999,03.06.2021
44,23.661768893418646,30.140291950591365,30.140291950591365,25.99,04.06.2021
45,23.90599010465924,30.39403057801055,30.39403057801055,26.580002,07.06.2021
46,24.001764264073493,30.493733674666686,30.493733674666686,27.89,08.06.2021
47,24.354708248843163,30.861129347692003,30.861129347692003,28.12,09.06.2021
48,24.83909853128404,31.365331872148143,31.365331872148143,28.28,10.06.2021
49,25.44864437650837,31.99966365636029,31.99966365636029,28.01,11.06.2021
50,25.91691850088683,32.48694797253625,32.48694797253625,28.79,14.06.2021
51,26.0701211807325,32.64637978587046,32.64637978587046,28.11,15.06.2021
52,26.128150930820244,32.7068082944436,32.7068082944436,28.23,16.06.2021
53,26.12827413361867,32.70687975206669,32.70687975206669,28.57,17.06.2021
54,26.250216567419113,32.83379341878371,32.83379341878371,29.609999,18.06.2021
55,26.27349327212618,32.858101330913634,32.858101330913634,29.409996,21.06.2021
56,26.60065214321278,33.198638793881564,33.198638793881564,30.829998,22.06.2021
57,27.12242215469682,33.74164034361876,33.74164034361876,31.389997,23.06.2021
58,27.760125999501952,34.40539542015157,34.40539542015157,31.979998,24.06.2021
59,28.27913873235717,34.94557069769283,34.94557069769283,32.279995,25.06.2021
