,PI_low,PI_hi
1,13.059798625218946,34.124058530854505
2,13.175042482571053,34.25093430703627
3,13.24285245573507,34.32197679029516
4,13.083488543892466,34.13926909686576
5,13.519581670915784,34.62976142696042
6,13.159500482002212,34.221259891534885
7,13.278157578784064,34.35468429456921
8,13.415621136287115,34.50949329409907
9,13.919548929845035,35.07606775613267
10,13.863028727882153,35.00825329482819
11,14.58838417657067,35.8232375622622
12,14.834953672416646,36.09575483816385
13,15.157721218036617,36.45414712777925
14,15.319674339839244,36.631701954456204
15,15.312887893129295,36.61984473441386
16,15.947543405133265,37.33393299017115
17,16.615654909114298,38.08379072815522
18,16.997623658587674,38.50781840949243
19,17.041577239177993,38.55028192744483
20,18.039762826709975,39.674795462885484
21,15.953403747270576,37.308234826388066
22,15.472794715205993,36.77116405855837
23,16.146949491739587,37.542496362198776
24,17.596715919279504,39.18286059973251
25,16.421693848289845,37.84540876986088
26,16.851118819478046,38.329954881291265
27,16.267668605337,37.67061629906904
28,16.05954328269817,37.437740618496704
29,16.719006948191726,38.186398217400026
30,17.002512258126202,38.505234616253674
31,16.811831013429,38.285864214663114
32,17.02371670994885,38.52416225676772
33,16.985135175568832,38.479190607714855
34,16.869382249593574,38.34739376605886
35,17.686178350104534,39.27138805287958
36,17.826482539413956,39.42605934731777
37,19.031144462064553,40.78538771515131
38,19.691041499651096,41.52443539708695
39,19.36792482485075,41.14827158443053
40,20.08679355207257,41.958951776736164
41,19.798523694114483,41.627141109543984
42,20.203779461374996,42.084236446933495
43,20.573976282670998,42.50146719203704
44,20.613095396543546,42.541816847413195
45,20.69654083021313,42.6336464714102
46,21.276611079069344,43.29017730046432
47,22.191266113026167,44.32509585877043
48,21.914106414670474,44.00273167832724
49,21.475251774363123,43.50060691352471
50,22.887065179149026,45.10593600427559
51,22.274795187750435,44.40426624405923
52,21.48859891947588,43.50881584282635
53,19.33745409973577,41.07238300999806
54,20.03091953916255,41.872509847255344
55,20.31448224914648,42.201070068986674
56,21.645525495905133,43.7117978252638
57,21.666003316065172,43.7279408239538
58,21.81976577065499,43.89691528901389
59,22.80808484339485,45.017022811790774
60,24.009258569510983,46.377102573441285
61,23.62318088444225,45.927190461893275
62,24.633788097176318,47.07286848579083
63,24.486663275627198,46.899098691973585
64,24.963128395553404,47.43785576251444
65,25.598911978451422,48.158593757254536
66,26.186178934766513,48.82268997473229
67,26.7545276051592,49.46488791857929
68,27.333253131466744,50.119311213163286
69,28.828291449181005,51.821577259813125
70,30.80387211310251,54.072612266277076
71,32.3757582635952,55.859336243574305
72,28.62116730859113,51.54165898867922
73,30.8774108966548,54.13339042385586
74,33.8965702696633,57.59667127861792
75,33.48133755528065,57.10026574606479
76,32.77236763682724,56.27704709933717
77,31.962596765856297,55.3482228167432
78,32.62089176084024,56.10829164177555
79,35.24340475495269,59.12213224159747
80,36.021008762019534,60.003013966886805
81,37.98791180408459,62.25862034217859
82,39.78083581212816,64.31943192866574
83,40.35564245237498,64.96833326282997
84,41.2097130926108,65.94787786617637
85,47.81012366288665,73.63020143668643
86,44.646889684258454,69.88445290943278
87,42.003404245952844,66.80966686992268
88,38.185752200306574,62.403554332121715
89,37.71427032637551,61.89028439678189
90,38.73308069057522,63.082981899896936
91,41.01049908466008,65.72275466586052
92,43.39989593016797,68.48481560621022
93,39.43815015701613,63.861723865523615
94,40.23017839412614,64.79551213465935
95,40.39730298868885,64.99357855432352
96,41.19239636780466,65.91547576180595
97,39.06018627330609,63.43824865536343
98,39.0480577701061,63.43471041864204
99,39.35432214806187,63.79522042272438
100,39.257206491949034,63.68250172045386
101,38.85886431818268,63.22133851137494
102,34.616855254546344,58.33344084235347
103,30.31306970580841,53.41804232471232
104,30.841776780871783,54.0572165343783
105,32.82170279017892,56.343366751924144
106,36.32053026777863,60.362605570177834
107,33.89563343482378,57.55021417543918
108,34.1655768223484,57.86145657182417
109,35.742463689911794,59.67794630945883
110,32.8577819369026,56.3533962498405
