,PI_low,PI_hi
0,86.764605795515,149.42984019978925
1,89.41362263708206,153.24189417587598
2,91.3791496240658,155.7638676633012
3,94.58652223827025,160.43563294057088
4,95.62060366399784,161.9542139173197
5,75.18271714108529,133.47931605733285
6,101.3000904507685,169.35162585015536
7,110.8505276680135,182.85725142558698
8,108.1339619228273,178.6606575761236
9,101.2342251836902,168.78821855140444
10,97.96662141238441,165.07213987252896
11,101.80560124330795,170.66581544691059
12,98.91381153373486,166.07510885398395
13,95.7418039177609,162.29181787549928
14,87.17949551396939,150.34496046656028
15,99.07866612184286,167.09293773114794
16,104.91818653818996,173.81855094208476
17,94.59128154771572,161.1600023041346
18,97.49856120665756,164.91041582501214
19,94.85068672265558,161.62963024612048
20,96.11619388560511,163.75499235262353
21,100.88668770827036,170.36632911865507
22,106.10855024660597,176.8137224700708
23,104.37920830628961,172.73041374820855
24,107.37246008173513,177.08478363771607
25,105.7180378097698,175.12296669273266
26,111.6179644666227,183.387226424956
27,117.64042854591575,189.79686094412878
28,116.20543694849354,188.10546401629537
29,116.63096113429694,189.01225795750025
30,115.503305643261,187.1932683821681
31,118.16597405844989,190.64633233211364
32,124.83014779019814,199.8631783301921
33,114.4112648292542,186.1566242039321
34,120.32638428688094,192.3840400534112
35,115.35104226449423,186.70375244501238
36,116.3895069402422,188.59042901791662
37,112.29678378644448,182.3041888434805
38,114.33160496267438,185.40109122735433
39,102.92639827351734,168.7360905501776
40,94.86223482946032,157.53780901845215
41,94.78084139057991,157.6598403018956
42,88.82394542977023,149.84324725772345
43,83.48213658008244,144.00187490283045
44,77.25229915450204,135.25848340551093
45,77.07222833896748,134.09252595378362
46,77.30664344037349,134.39783750418297
47,71.56914116465526,126.23020593299245
48,68.54359143301181,122.41207582298156
49,63.040035109154516,115.11899818693891
50,67.70669584209665,121.462866694062
51,66.7466876427682,120.30488910003703
52,71.19581957547283,126.05045815866897
53,66.50599604790827,119.69379869916577
54,63.83265186048271,115.75586838613674
55,64.93278966545545,116.8632425608337
56,61.19616088022565,111.97459209978521
57,54.11401836641867,103.35708618677093
58,56.91223370243797,107.62709546688491
59,59.4335685053314,110.39264387692609
