,PI_low,PI_hi,date
0,86.17816824767674,114.98346143820768,2022-10-26
1,85.33190384514982,114.36194124495321,2022-10-27
2,88.58698915303596,119.01816232165837,2022-10-28
3,90.66034224104831,122.06825702043416,2022-10-31
4,77.7195412768566,103.84361091026997,2022-11-01
5,90.667944189853,121.09829619264879,2022-11-02
6,99.99176121613611,136.94948824515683,2022-11-03
7,105.440379573423,143.80691336704382,2022-11-04
8,101.39908100477992,137.89102391233195,2022-11-07
9,97.37713716671205,131.60631016926718,2022-11-08
10,98.13599241253873,132.65108093003042,2022-11-09
11,96.69549801769291,130.8738808041892,2022-11-10
12,95.21583487600539,128.49665135650145,2022-11-11
13,88.29193354459704,118.5811245525384,2022-11-14
14,93.96464448031651,126.34232281041231,2022-11-15
15,99.23905238419171,134.9561871119118,2022-11-16
16,96.60412174230335,130.92391150350755,2022-11-17
17,98.23220259276789,132.5649066045244,2022-11-18
18,95.06285328538576,128.52447235606815,2022-11-21
19,96.81920553978688,130.71888760389078,2022-11-22
20,100.66516466374566,136.49773360620762,2022-11-23
21,106.6006018106722,145.21590692837475,2022-11-24
22,105.06979397068085,143.20190279904187,2022-11-25
23,106.22062273668385,144.41153677878515,2022-11-28
24,104.88968554920378,142.72856111611046,2022-11-29
25,108.39339052441987,147.63500966831057,2022-11-30
26,113.82448081355217,155.73778455147112,2022-12-01
27,115.24294983941374,158.06886349331847,2022-12-02
28,115.89269175129448,158.97844397321427,2022-12-05
29,114.93611124115216,157.61764026949126,2022-12-06
30,116.54298234004132,159.76057853043605,2022-12-07
31,121.67177325312016,167.2079545815771,2022-12-08
32,116.6911855099988,160.8391588829879,2022-12-09
33,119.47472558932193,163.93144375031426,2022-12-12
34,115.74445159188535,159.0693430846775,2022-12-13
35,116.27366460855046,159.49262201076584,2022-12-14
36,112.62230267427955,154.40544299781013,2022-12-15
37,113.66219760882458,155.47786460666242,2022-12-16
38,104.94600568828412,143.51261912481803,2022-12-19
39,96.7095842173716,131.1368943001374,2022-12-20
40,92.49631798906846,124.35017204911351,2022-12-21
41,86.60753687048819,116.11804258757397,2022-12-22
42,82.09179679921797,109.34197021617061,2022-12-23
43,75.60787821377168,100.06004805931568,2022-12-28
44,72.73344950332992,95.82155317551552,2022-12-29
45,71.31500637008448,94.07599074416034,2022-12-30
46,67.60949126210899,88.76881635103297,2023-01-03
47,64.12289514126213,83.67574491842957,2023-01-04
48,58.87113988582204,76.51880695918001,2023-01-05
49,59.84165062345528,77.96104417368937,2023-01-06
50,59.37427503082936,77.6446493505943,2023-01-09
51,62.885769984562685,82.35131602496709,2023-01-10
52,60.96927621468446,79.74798793758569,2023-01-11
53,59.07599918237899,76.78048266996026,2023-01-12
54,58.37491067143755,75.9804920714459,2023-01-13
55,56.137357708611354,72.96915738607103,2023-01-16
56,51.39104943890662,66.26722852102493,2023-01-17
57,51.09797492384893,65.84244165829107,2023-01-18
58,52.29085483971335,67.88832514652736,2023-01-19
59,52.84016823264977,68.53133189575371,2023-01-20
