,PI_low,PI_hi
0,16.140291950591365,20.20003304915068
1,16.291634606988463,20.356281671781893
2,16.435533227101722,20.500749642827387
3,16.524537023133945,20.58958354220058
4,16.891509309742457,20.96741424584718
5,16.88154824028673,20.94790175624049
6,16.850969182514014,20.91824622664479
7,16.771620358584826,20.837203918649813
8,16.986618666856394,21.062251694384987
9,17.052572020120863,21.125892223115954
10,17.181875513120406,21.26020532670379
11,17.48665866156484,21.576380914716097
12,17.72264148647872,21.820267876764554
13,18.06303603420048,22.169083212556092
14,18.25108841202219,22.355571838858747
15,18.48183665803785,22.59016499780776
16,18.629436444219394,22.735560069911426
17,18.231172063642255,22.318471040951227
18,18.112281979172874,22.207578666141824
19,18.465784935039018,22.579796619900424
20,18.737496263490126,22.854398409205466
21,19.197142927104448,23.326152766233932
22,19.83111853202634,23.974912706967224
23,20.11773986314325,24.255299606875273
24,20.635218844360832,24.790731576677036
25,21.07358783027398,25.23654928058036
26,21.326214552437346,25.488642288220934
27,21.819028703017963,25.999165485844845
28,22.392215307978507,26.58465955755719
29,22.850517767460566,27.050741164934824
30,23.12101148265482,27.32190350171614
31,23.532744762764544,27.745976774116446
32,23.5487162807416,27.75394109581805
33,23.087606645497342,27.276010952112767
34,22.089358804895898,26.24952724776191
35,22.21721435700691,26.41533788598474
36,22.25758015227558,26.453855762479794
37,22.268847664205847,26.464144181770944
38,22.842422604387032,27.063848464254015
39,23.16270220081779,27.377948085112802
40,22.924964167236094,27.118065334136
41,22.85147887249111,27.04585062985121
42,23.059506058420613,27.26273264730935
43,23.141964212975132,27.34031049261253
44,23.26076312737367,27.460077534601123
45,23.35327167341279,27.553069282015674
46,23.614892199861426,27.825441223871962
47,24.216388343844844,28.434895283011464
48,24.592888950079615,28.78555952319901
49,24.858287613544853,29.02830956982357
50,24.965625341214,29.13249342905575
51,25.22695424663876,29.38062485071286
52,25.22782171754249,29.390560663594915
53,25.283598334852577,29.415952883553796
54,25.38997163101563,29.520516084202335
55,25.68667895922588,29.79650587623447
56,25.81010795799216,29.912074536461017
57,26.20868219360734,30.282923583926287
58,26.552302067389157,30.60360469827712
59,26.888244435584113,30.93113465619258
